id	sign	name_ja	fid	nday	n_ja
mc-18	🍱	SAIGON 屋台	E82		8180
mc-19	🎁	SOLEIL EXPO2025 STORE（2F）	W01		8190
mc-20	🎁	飲食・物販店舗（2F）	W01		8200
mc-21	🎁	飲食・物販店舗（2F）	W01		8210
mc-22	🎁	遊んでい館？（2F）	W01		8220
mc-23	🍱	ピザ・ダ・マリオ（2F）	W01		8230
mc-24	🍱	河童ラーメン本舗 大阪・関西万博店（2F）	W01		8240
mc-25	🍱	アフリカダイニングホール PANAF'（2F）	W01		8250
mc-26	🍱	サスティナブルフードコート 大阪のれんめぐり〜食と祭 EXPO〜	W01		8260
mc-27	🎁	飲食・物販店舗	W01		8270
mc-28	☕	K-Restaurant&Cafe'	W01		8280
mc-29	🍱	つくもうどんEXPRESS 大阪・関西万博店	W01		8290
mc-30	🍱	魯園菜館 大阪・関西万博店	W01		8300
mc-31	🎁	おこしやす 京の小路 〜Kyoto's Crafts & Foods〜	W01		8310
mc-32	🎁	K-POP SHOP 韓流スターワールド	W01		8320
mc-33	🎁	アニメイト大阪・関西万博店	W01		8330
mc-34	☕	f fields	F81		8340
mc-35	🍱	とんかつ乃ぐち	F81		8350
mc-36	🍱	EARTH SWEETS 〜Presented by Takeshita Seika〜	F81		8360
mc-37	🍱	GF RAMEN LAB 大阪・関西万博店	F81		8370
mc-38	🍱	テラスニチレイ	F81		8380
mc-39	☕	THEO'S CAFE'	F81		8390
mc-40	☕	SUNTORY PARK CAFE ⭐️	S81		8400
mc-41	🍱	水空 SUIKUU（2F） ⭐️	S81		8410
mc-42	🍱	近大卒の魚と紀州の恵み 近畿大学水産研究所 大阪・関西万博ウォータープラザ店（2F） ⭐️	S81		8420
mc-43	🍙	セブン-イレブン ウォータープラザ店 ⭐️	S81		8430
mc-44	🎁	URBAN RESEARCH EXPO2025 STORE	S81		8440
mc-45	🍱	グランドフードコート	L81		8450
mc-46	🍱	牛カツ京都勝牛	L81		8460
mc-47	🍱	エスニックフュージョンレストラン	L81		8470
mc-48	🍙	アカカベ 風の広場店	L81		8480
mc-49	🍱	好きやねん大阪 フードコート WEST SIDE	L81		8490
mc-50	🍱	ディワンキッチン	L81		8500
mc-51	🎁	Asia物産	L81		8510
